[17:20:18] [INFO] received Windows console close event; shutting log-core down
[20:55:54] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:49:36] [INFO] received Windows console close event; shutting log-core down
[23:40:38] [INFO] received Windows console close event; shutting log-core down
[23:43:02] [INFO] received Windows console close event; shutting log-core down
[23:43:16] [INFO] received Windows console close event; shutting log-core down
[23:45:11] [INFO] received Windows console close event; shutting log-core down
[23:47:01] [INFO] received Windows console close event; shutting log-core down
[23:47:25] [INFO] received Windows console close event; shutting log-core down
[00:37:41] [INFO] received Windows console close event; shutting log-core down
[00:46:28] [INFO] received Windows console close event; shutting log-core down
[00:46:47] [INFO] received Windows console close event; shutting log-core down
[04:10:49] [INFO] received Windows console close event; shutting log-core down
[15:17:26] [INFO] received Windows console close event; shutting log-core down
[18:18:31] [INFO] received Windows console close event; shutting log-core down
[18:55:47] [INFO] received Windows console close event; shutting log-core down
[01:08:10] [INFO] received Windows console close event; shutting log-core down
[01:22:22] [INFO] received Windows console close event; shutting log-core down
[13:45:30] [INFO] received Windows console close event; shutting log-core down
